z,dens,mldU,mldL,per
0.0,1024.0,9.0,15.0,setup
0.25,1024.0,9.0,15.0,setup
0.5,1024.0,9.0,15.0,setup
0.75,1024.0,9.0,15.0,setup
1.0,1024.0,9.0,15.0,setup
1.25,1024.0,9.0,15.0,setup
1.5,1024.0,9.0,15.0,setup
1.75,1024.0,9.0,15.0,setup
2.0,1024.0,9.0,15.0,setup
2.25,1024.0,9.0,15.0,setup
2.5,1024.0,9.0,15.0,setup
2.75,1024.0,9.0,15.0,setup
3.0,1024.0,9.0,15.0,setup
3.25,1024.0,9.0,15.0,setup
3.5,1024.0,9.0,15.0,setup
3.75,1024.0,9.0,15.0,setup
4.0,1024.0,9.0,15.0,setup
4.25,1024.0,9.0,15.0,setup
4.5,1024.0,9.0,15.0,setup
4.75,1024.0,9.0,15.0,setup
5.0,1024.0,9.0,15.0,setup
5.25,1024.0,9.0,15.0,setup
5.5,1024.0,9.0,15.0,setup
5.75,1024.0,9.0,15.0,setup
6.0,1024.0,9.0,15.0,setup
6.25,1024.0,9.0,15.0,setup
6.5,1024.0,9.0,15.0,setup
6.75,1024.0,9.0,15.0,setup
7.0,1024.0,9.0,15.0,setup
7.25,1024.0,9.0,15.0,setup
7.5,1024.0,9.0,15.0,setup
7.75,1024.0,9.0,15.0,setup
8.0,1024.0,9.0,15.0,setup
8.25,1024.0,9.0,15.0,setup
8.5,1024.0,9.0,15.0,setup
8.75,1024.0,9.0,15.0,setup
9.0,1024.0,9.0,15.0,setup
9.25,1024.0416666666667,9.0,15.0,setup
9.5,1024.0833333333333,9.0,15.0,setup
9.75,1024.125,9.0,15.0,setup
10.0,1024.1666666666667,9.0,15.0,setup
10.25,1024.2083333333333,9.0,15.0,setup
10.5,1024.25,9.0,15.0,setup
10.75,1024.2916666666667,9.0,15.0,setup
11.0,1024.3333333333333,9.0,15.0,setup
11.25,1024.375,9.0,15.0,setup
11.5,1024.4166666666667,9.0,15.0,setup
11.75,1024.4583333333333,9.0,15.0,setup
12.0,1024.5,9.0,15.0,setup
12.25,1024.5416666666667,9.0,15.0,setup
12.5,1024.5833333333333,9.0,15.0,setup
12.75,1024.625,9.0,15.0,setup
13.0,1024.6666666666667,9.0,15.0,setup
13.25,1024.7083333333333,9.0,15.0,setup
13.5,1024.75,9.0,15.0,setup
13.75,1024.7916666666667,9.0,15.0,setup
14.0,1024.8333333333333,9.0,15.0,setup
14.25,1024.875,9.0,15.0,setup
14.5,1024.9166666666667,9.0,15.0,setup
14.75,1024.9583333333333,9.0,15.0,setup
15.0,1025.0,9.0,15.0,setup
15.25,1025.0,9.0,15.0,setup
15.5,1025.0,9.0,15.0,setup
15.75,1025.0,9.0,15.0,setup
16.0,1025.0,9.0,15.0,setup
16.25,1025.0,9.0,15.0,setup
16.5,1025.0,9.0,15.0,setup
16.75,1025.0,9.0,15.0,setup
17.0,1025.0,9.0,15.0,setup
17.25,1025.0,9.0,15.0,setup
17.5,1025.0,9.0,15.0,setup
17.75,1025.0,9.0,15.0,setup
18.0,1025.0,9.0,15.0,setup
18.25,1025.0,9.0,15.0,setup
18.5,1025.0,9.0,15.0,setup
18.75,1025.0,9.0,15.0,setup
19.0,1025.0,9.0,15.0,setup
19.25,1025.0,9.0,15.0,setup
19.5,1025.0,9.0,15.0,setup
19.75,1025.0,9.0,15.0,setup
20.0,1025.0,9.0,15.0,setup
20.25,1025.0,9.0,15.0,setup
20.5,1025.0,9.0,15.0,setup
20.75,1025.0,9.0,15.0,setup
21.0,1025.0,9.0,15.0,setup
21.25,1025.0,9.0,15.0,setup
21.5,1025.0,9.0,15.0,setup
21.75,1025.0,9.0,15.0,setup
22.0,1025.0,9.0,15.0,setup
22.25,1025.0,9.0,15.0,setup
22.5,1025.0,9.0,15.0,setup
22.75,1025.0,9.0,15.0,setup
23.0,1025.0,9.0,15.0,setup
23.25,1025.0,9.0,15.0,setup
23.5,1025.0,9.0,15.0,setup
23.75,1025.0,9.0,15.0,setup
24.0,1025.0,9.0,15.0,setup
24.25,1025.0,9.0,15.0,setup
24.5,1025.0,9.0,15.0,setup
24.75,1025.0,9.0,15.0,setup
25.0,1025.0,9.0,15.0,setup
0.0,1021.0,9.0,17.0,peak
0.25,1021.0,9.0,17.0,peak
0.5,1021.0,9.0,17.0,peak
0.75,1021.0,9.0,17.0,peak
1.0,1021.0,9.0,17.0,peak
1.25,1021.0,9.0,17.0,peak
1.5,1021.0,9.0,17.0,peak
1.75,1021.0,9.0,17.0,peak
2.0,1021.0,9.0,17.0,peak
2.25,1021.0,9.0,17.0,peak
2.5,1021.0,9.0,17.0,peak
2.75,1021.0,9.0,17.0,peak
3.0,1021.0,9.0,17.0,peak
3.25,1021.0,9.0,17.0,peak
3.5,1021.0,9.0,17.0,peak
3.75,1021.0,9.0,17.0,peak
4.0,1021.0,9.0,17.0,peak
4.25,1021.0,9.0,17.0,peak
4.5,1021.0,9.0,17.0,peak
4.75,1021.0,9.0,17.0,peak
5.0,1021.0,9.0,17.0,peak
5.25,1021.0,9.0,17.0,peak
5.5,1021.0,9.0,17.0,peak
5.75,1021.0,9.0,17.0,peak
6.0,1021.0,9.0,17.0,peak
6.25,1021.0,9.0,17.0,peak
6.5,1021.0,9.0,17.0,peak
6.75,1021.0,9.0,17.0,peak
7.0,1021.0,9.0,17.0,peak
7.25,1021.0,9.0,17.0,peak
7.5,1021.0,9.0,17.0,peak
7.75,1021.0,9.0,17.0,peak
8.0,1021.0,9.0,17.0,peak
8.25,1021.0,9.0,17.0,peak
8.5,1021.0,9.0,17.0,peak
8.75,1021.0,9.0,17.0,peak
9.0,1021.0,9.0,17.0,peak
9.25,1021.09375,9.0,17.0,peak
9.5,1021.1875,9.0,17.0,peak
9.75,1021.28125,9.0,17.0,peak
10.0,1021.375,9.0,17.0,peak
10.25,1021.46875,9.0,17.0,peak
10.5,1021.5625,9.0,17.0,peak
10.75,1021.65625,9.0,17.0,peak
11.0,1021.75,9.0,17.0,peak
11.25,1021.84375,9.0,17.0,peak
11.5,1021.9375,9.0,17.0,peak
11.75,1022.03125,9.0,17.0,peak
12.0,1022.125,9.0,17.0,peak
12.25,1022.21875,9.0,17.0,peak
12.5,1022.3125,9.0,17.0,peak
12.75,1022.40625,9.0,17.0,peak
13.0,1022.5,9.0,17.0,peak
13.25,1022.59375,9.0,17.0,peak
13.5,1022.6875,9.0,17.0,peak
13.75,1022.78125,9.0,17.0,peak
14.0,1022.875,9.0,17.0,peak
14.25,1022.96875,9.0,17.0,peak
14.5,1023.0625,9.0,17.0,peak
14.75,1023.15625,9.0,17.0,peak
15.0,1023.25,9.0,17.0,peak
15.25,1023.34375,9.0,17.0,peak
15.5,1023.4375,9.0,17.0,peak
15.75,1023.53125,9.0,17.0,peak
16.0,1023.625,9.0,17.0,peak
16.25,1023.71875,9.0,17.0,peak
16.5,1023.8125,9.0,17.0,peak
16.75,1023.90625,9.0,17.0,peak
17.0,1024.0,9.0,17.0,peak
17.25,1024.0,9.0,17.0,peak
17.5,1024.0,9.0,17.0,peak
17.75,1024.0,9.0,17.0,peak
18.0,1024.0,9.0,17.0,peak
18.25,1024.0,9.0,17.0,peak
18.5,1024.0,9.0,17.0,peak
18.75,1024.0,9.0,17.0,peak
19.0,1024.0,9.0,17.0,peak
19.25,1024.0,9.0,17.0,peak
19.5,1024.0,9.0,17.0,peak
19.75,1024.0,9.0,17.0,peak
20.0,1024.0,9.0,17.0,peak
20.25,1024.0,9.0,17.0,peak
20.5,1024.0,9.0,17.0,peak
20.75,1024.0,9.0,17.0,peak
21.0,1024.0,9.0,17.0,peak
21.25,1024.0,9.0,17.0,peak
21.5,1024.0,9.0,17.0,peak
21.75,1024.0,9.0,17.0,peak
22.0,1024.0,9.0,17.0,peak
22.25,1024.0,9.0,17.0,peak
